numero_finess_etablissement;rsej;activite;libactivite;forme;libforme;numero finess etablissement juridique;raison_sociale;rslongue;code_commune;departement;libelle_departement;categetab;categorie;coordyet;coordxet;longitude;latitude;groupe_activites;code_insee
300000072;CH LE VIGAN;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);300780095;CH LE VIGAN;CENTRE HOSPITALIER LE VIGAN (HOP PROXIMITE);350;30;GARD;106;Centre hospitalier, ex Hôpital local;6321655.2;748872.8;3.609262169922538;43.99220170598142;Médecine;30350
310013628;CH MURET;01;Médecine;02;Hospitalisation à temps partiel de jour ou de nuit;310786256;CH MURET;CENTRE HOSPITALIER DE MURET;395;31;HAUTE GARONNE;106;Centre hospitalier, ex Hôpital local;6261866.4;563211.2;1.31092222428742;43.44273465791847;Médecine;31395
310013628;CH MURET;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);310786256;CH MURET;CENTRE HOSPITALIER DE MURET;395;31;HAUTE GARONNE;106;Centre hospitalier, ex Hôpital local;6261866.4;563211.2;1.31092222428742;43.44273465791847;Médecine;31395
320000151;CH DE MAUVEZIN;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);320780182;CH DE MAUVEZIN;CENTRE HOSPITALIER DE MAUVEZIN (HOP PROXIMITE);249;32;GERS;106;Centre hospitalier, ex Hôpital local;6294522.7;528799.4;0.8753388831259373;43.72900014332238;Médecine;32249
340000173;CH PEZENAS;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);340780451;CH PEZENAS;CENTRE HOSPITALIER DE PEZENAS (HOP PROXIMITE);199;34;HERAULT;106;Centre hospitalier, ex Hôpital local;6262419.2;733931.2;3.4190810727844405;43.460060756636025;Médecine;34199
340000215;CH LODEVE;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);340780519;CH LODEVE;CENTRE HOSPITALIER DE LODEVE (HOP PROXIMITE);142;34;HERAULT;106;Centre hospitalier, ex Hôpital local;6292503.5;725480.5;3.316196459836428;43.73109847434793;Médecine;34142
340000231;CH LUNEL;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);340780535;CH LUNEL;CH LUNEL (HOP PROXIMITE);145;34;HERAULT;106;Centre hospitalier, ex Hôpital local;6285748.8;790766.7;4.125091274968542;43.66495844553583;Médecine;34145
340000249;CH CLERMONT L'HERAULT;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);340780543;CH CLERMONT L'HERAULT;CENTRE HOSPITALIER DE CLERMONT L'HERAULT (HOP PROXIMITE);079;34;HERAULT;106;Centre hospitalier, ex Hôpital local;6280878.0;735301.3;3.4372651841636244;43.62607043104471;Médecine;34079
340780444;CH BEDARIEUX;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);340009893;CH BEDARIEUX;CENTRE HOSPITALIER DE BEDARIEUX (HOP PROXIMITE);028;34;HERAULT;106;Centre hospitalier, ex Hôpital local;6279976.8;713016.3;3.1612071105920907;43.61872155349512;Médecine;34028
460000227;C.H.(EX H.L.)HOPITAL LOCAL LOUIS CONTE;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);460780430;CH LOUIS CONTE GRAMAT;CENTRE HOSPITALIER LOUIS CONTE GRAMAT (HOP PROXIMITE);128;46;LOT;106;Centre hospitalier, ex Hôpital local;6409860.8;599922.2;1.7348657503971774;44.78067666608788;Médecine;46128
