Unnamed: 0,code_insee,nom_standard,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,code_postal,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,taille_unite_urbaine,population,superficie_hectare,superficie_km2,densite,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,distance_urgence_km
16935,46222,Pomarède,pomarede,POMARÈDE,COM,commune,76,Occitanie,46,Lot,4615,Puy-l'Evêque,200035327,CC Cazals-Salviac,46250.0,7607.0,46042,46000,0.0,192,705,7,27.0,44.558,1.173,7,Rural à habitat très dispersé,24.426154833564425
16936,46223,Pontcirq,pontcirq,PONTCIRQ,COM,commune,76,Occitanie,46,Lot,4604,Causse et Bouriane,200023737,CA du Grand Cahors,46150.0,7607.0,46042,46000,0.0,180,886,9,20.0,44.545,1.265,7,Rural à habitat très dispersé,17.613533263605817
16937,46224,Pradines,pradines,PRADINES,COM,commune,76,Occitanie,46,Lot,4601,Cahors-1,200023737,CA du Grand Cahors,46090.0,7607.0,46042,46401,4.0,3584,1648,16,217.0,44.465,1.388,4,Ceintures urbaines,4.487342429859221
16938,46225,Prayssac,prayssac,PRAYSSAC,COM,commune,76,Occitanie,46,Lot,4615,Puy-l'Evêque,244600433,CC de la Vallée du Lot et du Vignoble,46220.0,7607.0,46042,46102,1.0,2460,2421,24,102.0,44.514,1.187,5,Bourgs ruraux,21.26774394867412
16939,46226,Prendeignes,prendeignes,PRENDEIGNES,COM,commune,76,Occitanie,46,Lot,4608,Figeac-2,200067361,CC Grand-Figeac,46270.0,7611.0,12300,46000,0.0,230,1578,16,15.0,44.698,2.077,7,Rural à habitat très dispersé,10.335128182677535
16940,46227,Promilhanes,promilhanes,PROMILHANES,COM,commune,76,Occitanie,46,Lot,4613,Marches du Sud-Quercy,200069383,CC Ouest Aveyron Communauté,46260.0,7611.0,12300,46000,0.0,220,1459,15,15.0,44.376,1.83,7,Rural à habitat très dispersé,16.629600755187553
16941,46228,Prudhomat,prudhomat,PRUDHOMAT,COM,commune,76,Occitanie,46,Lot,4606,Cère et Ségala,200066371,CC Causses et Vallée de la Dordogne,46130.0,7619.0,46128,46000,0.0,729,1228,12,59.0,44.897,1.817,6,Rural à habitat dispersé,6.848629820747396
16942,46229,Puybrun,puybrun,PUYBRUN,COM,commune,76,Occitanie,46,Lot,4606,Cère et Ségala,200066371,CC Causses et Vallée de la Dordogne,46130.0,7619.0,46128,163,1.0,1003,439,4,228.0,44.921,1.787,5,Bourgs ruraux,10.338389908121869
16943,46230,Puyjourdes,puyjourdes,PUYJOURDES,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,200067361,CC Grand-Figeac,46260.0,7611.0,12300,46000,0.0,89,788,8,11.0,44.402,1.855,6,Rural à habitat dispersé,15.765352452950777
16944,46231,Puy-l'Évêque,puy-l-eveque,PUY-L'ÉVÊQUE,COM,commune,76,Occitanie,46,Lot,4615,Puy-l'Evêque,244600433,CC de la Vallée du Lot et du Vignoble,46700.0,7607.0,46042,46000,0.0,1900,2644,26,72.0,44.517,1.136,5,Bourgs ruraux,25.18559472282567
16945,46232,Le Vignon-en-Quercy,le-vignon-en-quercy,LE VIGNON-EN-QUERCY,COM,commune,76,Occitanie,46,Lot,4614,Martel,200066371,CC Causses et Vallée de la Dordogne,46110.0,7619.0,46128,46000,0.0,970,281,3,345.0,44.996,1.638,6,Rural à habitat dispersé,20.795058034274977
16946,46233,Quissac-en-Quercy,quissac-en-quercy,QUISSAC-EN-QUERCY,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,200067361,CC Grand-Figeac,46320.0,7619.0,46128,46000,0.0,107,2496,25,4.0,44.625,1.719,7,Rural à habitat très dispersé,25.051946012567395
16947,46234,Rampoux,rampoux,RAMPOUX,COM,commune,76,Occitanie,46,Lot,4609,Gourdon,200035327,CC Cazals-Salviac,46340.0,7607.0,46042,46000,0.0,100,575,6,17.0,44.64,1.294,7,Rural à habitat très dispersé,12.009497267009156
16948,46235,Reilhac,reilhac,REILHAC,COM,commune,76,Occitanie,46,Lot,4610,Gramat,200067361,CC Grand-Figeac,46500.0,7619.0,46128,46000,0.0,171,1302,13,13.0,44.702,1.726,6,Rural à habitat dispersé,22.000267526603885
16949,46236,Reilhaguet,reilhaguet,REILHAGUET,COM,commune,76,Occitanie,46,Lot,4617,Souillac,200066371,CC Causses et Vallée de la Dordogne,46350.0,7619.0,46128,46000,0.0,148,1602,16,9.0,44.779,1.508,7,Rural à habitat très dispersé,11.863726860698623
16950,46237,Reyrevignes,reyrevignes,REYREVIGNES,COM,commune,76,Occitanie,46,Lot,4611,Lacapelle-Marival,200067361,CC Grand-Figeac,46320.0,7611.0,12300,46000,0.0,363,1249,12,29.0,44.645,1.912,6,Rural à habitat dispersé,10.467956105286058
16951,46238,Rignac,rignac,RIGNAC,COM,commune,76,Occitanie,46,Lot,4610,Gramat,200066371,CC Causses et Vallée de la Dordogne,46500.0,7619.0,46128,46000,0.0,288,964,10,30.0,44.806,1.704,6,Rural à habitat dispersé,15.883475898276657
