nofinessej;rsej;activite;libactivite;modalite;libmodalite;forme;libforme;noautor;dateautor;nofinesset;rset;noligautor;noligautoranc;noautorarhgos;noimplarhgos;sectpsy;libsectpsy;datemeo;datefin
320780133;CH CONDOM;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;762608927;2007-02-13;320000102;CH CONDOM;8927;;76-73-4309;76-73-4309;;;2007-02-13;2022-09-30
320780133;CH CONDOM;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762603248;2001-08-03;320000102;CH CONDOM;3248;;76-73-566;76-73-566;;;2001-08-03;2029-02-03
320780182;CH DE MAUVEZIN;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762603130;1901-01-01;320000151;CH DE MAUVEZIN;3130;;76-73-21;76-73-21;;;2014-06-18;2025-12-30
320780208;CH NOGARO;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762608396;1996-04-12;320001092;USLD CH NOGARO;8396;;76-73-390;76-73-390;;;1996-06-18;2027-06-30
310000633;AAIR MIDI PYRENEES;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;44;Hémodialyse en unité d'auto dialyse assistée;13;Saisonnier;762601687;2014-08-05;320004872;AAIR UAD UDM L'ISLE JOURDAIN;1687;;76-73-52424;76-73-52424;;;2016-12-29;2029-06-28
310000633;AAIR MIDI PYRENEES;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;762610121;2023-05-30;320005523;AAIR UAD UDM NOGARO;10121;;76-73-77741;76-73-77741;;;;
320780174;CHI LOMBEZ SAMATAN;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762608400;1995-10-30;320784036;USLD CHI LOMBEZ SAMATAN;8400;;76-73-405;76-73-405;;;2007-05-28;2026-06-30
320780117;CH AUCH EN GASCOGNE;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762603211;2001-08-03;320784069;USLD LA RIBERE CH AUCH;3211;;76-73-406;76-73-406;;;2001-08-03;2026-06-30
310000633;AAIR MIDI PYRENEES;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;762606248;2014-08-05;320784515;AAIR UAD UDM DD PAVIE;6248;;76-73-52423;76-73-52423;;;2015-03-16;2027-09-15
310000633;AAIR MIDI PYRENEES;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;46;Dialyse péritonéale à domicile;00;Pas de forme;762609216;2019-06-28;320784515;AAIR UAD UDM DD PAVIE;9216;;76-73-71312;76-73-71312;;;2019-07-08;2027-01-07
310000633;AAIR MIDI PYRENEES;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;45;Hémodialyse à domicile;00;Pas de forme;762609217;2019-06-28;320784515;AAIR UAD UDM DD PAVIE;9217;;76-73-71309;76-73-71309;;;2019-07-08;2027-01-07
