nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
CENTRE DE MEDECINE NUCLEAIRE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610418;53-53-1117;53-53-1117;2005-07-05;290017979;2007-03-06;
CENTRE DE MEDECINE NUCLEAIRE;05705;Tomographe à émissions;532610419;53-53-47150;53-53-47150;2012-11-30;290017979;2014-09-10;
CENTRE DE MEDECINE NUCLEAIRE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610420;53-53-76856;53-53-76856;2022-11-22;290017979;2023-01-31;
CENTRE DE MEDECINE NUCLEAIRE;05701;Caméra à scintillation sans détecteur d'émission de positons;532610421;53-53-1118;53-53-1118;2005-07-05;290017979;2007-02-12;
CENTRE HOSPITALIER D'AJACCIO;05701;Caméra à scintillation sans détecteur d'émission de positons;942610422;94-94-45201;94-94-45201;2006-10-31;2A0005468;2013-12-11;
CENTRE HOSPITALIER D'AJACCIO;05701;Caméra à scintillation sans détecteur d'émission de positons;942610423;94-94-35947;94-94-35947;1995-06-30;2A0005468;1999-03-22;
SARL CORSCINTIGRAPHIE;05701;Caméra à scintillation sans détecteur d'émission de positons;942610424;94-94-35955;94-94-35955;2004-04-27;2B0003008;2007-03-16;
SARL CORSCINTIGRAPHIE;05701;Caméra à scintillation sans détecteur d'émission de positons;942610848;94-94-76967;94-94-76967;2022-12-13;2B0003008;;
CHU NIMES;05602;Scanographe à utilisation médicale;762610425;76-91-59787;76-91-59787;2016-07-28;300782117;2016-10-19;
CHU NIMES;06201;Appareil d'IRM à utilisation clinique;762610426;76-91-1082;76-91-1082;2007-05-23;300782117;2007-06-26;
CHU NIMES;06201;Appareil d'IRM à utilisation clinique;762610427;76-91-71291;76-91-71291;2019-06-28;300782117;2021-10-20;
CHU NIMES;05602;Scanographe à utilisation médicale;762610428;76-91-1078;76-91-1078;2007-06-27;300782117;2009-03-17;
CHU NIMES;06201;Appareil d'IRM à utilisation clinique;762610429;76-91-1047;76-91-1047;2007-05-23;300782117;2009-05-05;
CHU TOULOUSE;44901;Caisson hyperbare;762610430;76-73-1072;76-73-1072;2006-05-28;310783048;2007-05-28;
SAS SCANNER POLYCLINIQUE BX RIVE DROIT;05602;Scanographe à utilisation médicale;752610436;75-72-46887;75-72-46887;2013-06-20;330058447;2015-10-23;
SAS DE L'IRM SAINT AUGUSTIN;06201;Appareil d'IRM à utilisation clinique;752610434;75-72-41697;75-72-41697;2010-10-18;330060468;2012-08-14;
SAS DE L'IRM SAINT AUGUSTIN;06201;Appareil d'IRM à utilisation clinique;752610435;75-72-71083;75-72-71083;2019-05-28;330060468;2022-01-03;
SA TDMR D'AQUITAINE;05602;Scanographe à utilisation médicale;752610442;75-72-35865;75-72-35865;2007-03-27;330060476;2007-08-07;
ANNA-LOU;05602;Scanographe à utilisation médicale;752610431;75-72-35774;75-72-35774;2008-04-08;330060484;2008-07-15;
SA TDMR D'AQUITAINE;05602;Scanographe à utilisation médicale;752610440;75-72-35771;75-72-35771;2005-05-03;330060518;2009-06-20;
SCM IMAGERIE CLINIQUE DU SPORT;05602;Scanographe à utilisation médicale;752610432;75-72-77641;75-72-77641;2023-04-24;330060526;2023-09-04;
SARL DU SCANNER DE SAINT MARTIN;05602;Scanographe à utilisation médicale;752610433;75-72-35761;75-72-35761;2010-10-18;330060559;2011-10-07;
SA TDMR D'AQUITAINE;06201;Appareil d'IRM à utilisation clinique;752610441;75-72-35850;75-72-35850;2008-04-08;330060567;2008-07-21;
SA TDMR D'AQUITAINE;06201;Appareil d'IRM à utilisation clinique;752610443;75-72-76408;75-72-76408;2021-12-17;330060567;2022-06-02;
GROUPEMENT IRM 3T BORDEAUX RIVE DROITE;06201;Appareil d'IRM à utilisation clinique;752610437;75-72-72173;75-72-72173;2019-05-24;330060856;2019-11-04;
IMAGIR;05602;Scanographe à utilisation médicale;752610834;75-72-77615;75-72-77615;2023-04-24;330065608;2024-05-13;
